Drug,Count
HADM_ID,2
naproxen,183
protonix,2002
octreotide,1155
norepinephrine,390
glucose,26949
na,23689
calcium,14090
nitrite,3639
bacteri,865
sliver,15
pantoprazole,2243
tylenol,3133
furosemide,2529
lisinopril,5846
spironolactone,1389
phenylephrine,730
lisinopril atenolol,11
qhs fenofibrate,3
qpm,447
calcium plavix,1
V58,2771
cspine,94
admittd,3
dilantin,1516
vancomycin,10465
8220,11
drinking alcohol,3
cocaine,1281
haldol,1160
ativan,1474
diltiazem,2638
thiamine folate,213
multivitamin,815
metoprolol,7165
ammonia,359
lactulose,2424
flagyl,4520
ceftriaxone flagyl,43
daptomycin,766
haldol zyprexa,2
alcohol,3240
benzodiazepine,154
delririum,1
lovenox,2292
flagyl tylenol,1
zofran,1116
morphine,3518
lactate,9399
unasyn,629
oxygen,6100
diovan acidophilus,1
creatinine hypertension,5
ceftazidime,1446
acyclovir,951
glucose urea,5155
sodium potassium chloride,5442
calcium phosphate magnesium uric acid,70
bilirubin,3219
daunurubicin,1
cefepime,3354
vanco cefepime,81
vanco meropenem fluconzaole,1
vanco,2727
meropenem voriconazole,1
heparin,10482
decadron,580
486,3240
atropine,588
dopamine,1678
lasix,12540
atenolol lasix,5
creatinine,8235
lantus,187
atenolol,2109
atenolol lisinopril,9
albuterol,2475
trazodone,887
zoloft albuterol,2
ethanol,1494
calcium phosphate magnesium,2527
acyclovir ctx vanco,1
ampicillin,1290
rifaximin,646
ampicillin vancomycin,5
ceftraixone,11
iron,7743
acetaminophen,1938
metoprolol tartrate,1246
warfarin,3088
calcium carbonate,684
hydromorphone,391
bisacodyl,594
ibuprofen,722
digoxin,2091
p coronary artery bypass graft x,81
baclofen,400
fentanyl,1841
methadone,1059
diazepam methadone baclofen,1
ammonia utox benzo,1
narcan,287
diazepam,449
valium,947
neurontin lamictal seroquel,1
lamictal,172
seroquel,789
quetiapine fumarate,34
qhs,3166
pantoprazole sodium,34
gabapentin,1400
pda,367
nitro,82
morphine plavix,2
aspirin,7979
lima the lima lad anastomosis,1
plavix,3675
vitamin k,1054
quinine,101
qid,1444
mirtazapine,401
nitroglycerin,1221
aspirin plavix,163
ranolazine,33
tartrate,19
amoxicillin,233
clarithromycin,120
ranolazine metronidazole,1
coumadin,569
potassium,2015
atorvastatin depression,3
venlafaxine,193
uptitrate,68
atorvastatin,1672
metformin,1591
clopidogrel,609
isosorbide mononitrate,403
metoprolol succinate,889
levaquin,1351
primaxin,17
amiodarone,3610
amlodipine,1923
levothyroxine sodium,187
azithromycin,1503
ceftriaxone,4420
sodium potassium chloride pm urine osmolal,16
calcium phosphate magnesium iron,123
folate,2459
ciprofloxacin,2996
metronidazole,759
ace inhibitor lisinopril,2
domperidone,15
hydralazine,1402
levothyroxine vitamin d,1
vitamin d dyslipidemia,2
gabapentin insomnia,1
ranitidine,622
nexium,283
bupropion,199
calcitriol,343
eszopiclone,6
levothyroxine,2155
rosuvastatin,168
tamsulosin,511
vitamin d b mcg,1
272,41
levofloxacin,4648
meropenem,2232
penicillin,591
streptococcus pneumoniae erythromycin,2
tetracycline,570
trimethoprim sulfa s,184
ipratropium,570
cefpodoxime,348
tiotropium,122
quetiapine,232
duloxetine,142
citalopram,874
lorazepam,1381
qhs pantoprazole,22
po bid quetiapine,4
qpm duloxetine,1
qhs albuterol,19
mesalamine,154
ondansetron,352
plavix heparin,26
vit k,110
epinephrine,978
dalteparin,18
amantidine,9
oxacillin,833
penicillins cephalosporins carbacephems carbapenems,277
rifampin,744
clindamycin,1046
erythromycin,653
gentamicin,2188
nitrofurantoin,542
vancomycin s anaerobic,56
cholesterol,308
hypercarbic,241
cortisol,907
benzodiazepines,345
asessed,2
sodium,2430
erythromycin eye cream skin changes,1
tea,39
cream,169
nephrotoxins,99
heparin protonix,8
V090,221
V46,331
tamoxifen,77
reopro,13
argatroban,378
isosorbide,157
aspirin plavix statin,19
glyburide,691
procrit,118
neurontin,587
qhs lasix,43
zoloft lisinopril,1
asprin,45
plavix protonix toprol,1
htn lipids dm s p l thr prostate,1
dilantin toxicity,8
swtiched,11
contin,278
hepatitis c cirrhosis,53
ethanol acetmnp,135
hepatitis c and alcoholic cirrhosis,1
sucralfate,447
nadolol,960
butalbital,22
folic acid,1217
multivitamins,234
thiamine,879
dilaudid,1464
prednisone,5283
hydroxyurea,147
benadryl,455
oxycontin,546
oxycodone,2427
oxycontin oxycodone naproxen tylenol,1
po qd metronidazole,1
amlodipine carvedilol furosemide,1
statins,70
famotidine,450
calcitriol mcg capsule po,2
cyanocobalamin,214
docusate sodium,1405
felodipine,82
carvedilol,1059
iron ferrous sulfate,4
reglan,150
qpm nitropaste lasix,1
"412"",287",4
enoxaparin,285
levofloxacin flagyl vancomycin,3
gpc,347
cephalosporins,335
fluconazole,1170
lipitor depression,3
prozac risperdone,1
mesalamine orthostatic hypotension,1
midodrine,616
fluoxetine,443
risperidone,177
nicotine,332
ascorbic acid,257
ferrous gluconate,69
fluticasone salmeterol,312
tiotropium bromide,105
docusate sodium warfarin,1
clonazepam,581
quinolone,26
blood triglyc,242
chol,640
ampicillin sulbactam,603
s s cefazolin,4
s s cefuroxime,2
ampicillin sulbactam s cefazolin,50
cefuroxime,319
imipenem,401
tobramycin,548
klebsiella,115
velcade,64
dexamethasone,801
chemo,274
steroids,4014
bronchodilators,88
d c levofloxacin,1
torsemide,795
carvedilol lisinopril,16
bortezomib,8
cholecalciferol vitamin d unit tablet sig,27
omeprazole,2568
vitamins,122
42833,191
jehovahs,9
cipro,2159
diovan,405
9973,4
flagyl keflex,1
desaturated,188
atenolol synthroid mcg,1
thallium,32
phenylepherine,58
statin aspirin,66
diphenhydramine,142
iron mineral centrum prescribed by other provider mcg,3
niacin,113
potassium gluconate,5
acetmnp,549
metoprolol lisinopril,49
vancomycin aztreonam cipro,1
penicillin allergy,41
olanazpine,3
olanzapine,291
trazadone,266
glargine,1090
801,29
aphos,4
oxygen asthma dchf diabetes,1
magnesium,598
methyprednisolone,12
dm,490
levofloxacin copd,2
tiotroprium albuterol,1
monteleukast spiriva,1
fluticasone,609
glipizide,870
simvastatin,2333
albuterol inhaler mcg,3
po bid montelukast,2
qhs spiriva,4
loratadine,140
fosphenytoin,92
epineprhine,5
methylprednisolone diphenhydramine,1
haloperidol,113
vancomycin ceftriaxone,86
phenytoin,532
epinephrine histamine,1
qhs ativan,8
po bid levothyroxine,20
buspirone,78
po,634
sertraline,451
clonidine,988
po bid tylenol,13
mirtazipine,39
mashed potatoes meatloaf,1
scone,2
propofol,1412
scopolamine,112
lamotrigine,114
ventolin inhaler symbicort inhaler spiriva,1
99731,285
bacilli,435
blood glucose,23
betablockers,62
vanco flagyl,30
calcium gluconate sodium bicarbonate,1
tylenol toxicity,24
nitrogen,71
bicarbonate,717
bilirubin alanine,9
asparate,12
phosphate,330
cyclosporine,263
qod,227
lactate hypovolemia,1
captopril,484
V42,286
isoproterenol,15
neosynephrine,526
vitamin b,177
enalapril,260
statin,2104
timolol,115
pilocarpine qid,2
phenergan,80
solumedrol,1001
epinephrine benadryl,2
doxcycline,3
po levo flagyl,2
creatine,224
hyperthyroid,7
V181,1
V18,9
steroids hydrocortisone fludricortisone,1
cephalosporin,34
d then,1
vancomycin cefepime,238
bacitracin,49
methicillin,184
diuril,99
amlodipine hydralizine,2
xigris,1
albuterol inhaler,114
levophed,2276
etomidate,147
solumedrol albuterol,1
bicarb,997
levaquin flagyl vanco,1
hepatitis b ab,1
vancomycin meropenem levofloxacin,2
vancomycin meropenem,63
hydrochlorothiazide,194
tiotropium inhaler,2
hepatitis b vaccination given hepatitis b serology follow up pending hiv serology history of,1
lisin,1
amlodipine metformin,1
seroquel qhs,18
doxepin,93
cocaine methadone,2
suboxone,43
valium seroquel,1
appetite,657
gtts allergies,2
streptococcus pneumoniae penicillin,7
potassium hydroxide,126
voriconazole,348
ciprofloxacin dexamethasone,2
drops tid in ear for,1
travatan,25
gtts,81
paclitaxal,1
steroid,1479
cefepime vancomycin,64
gentamycin,293
doxycyline,14
paclitaxol carboplatin,1
vancomycin gentamycin cefepime,2
clotrimazole,100
glucophage,92
hydrocortisone,598
s p carboplatin etoposide,1
irinotecan,37
fondaparinux,105
s p carboplatin,1
etoposide,92
cellcept,244
clobetasol propionate ointment appl tp daily,1
diphenoxylate atropine,30
prochlorperazine,148
po bid ranitidine,14
po bid mycophenolate mofetil,4
po bid lidocaine,6
oxycodone acetaminophen,212
nystatin,449
po tid amitriptyline,1
vitamin d,433
pamidronate,47
chromogranin,14
nystatin susp qid,1
valproate ammonia calcium phosphate magnesium glucose urea,1
thin,217
uptitration,162
clobazam,6
levetiracetam,274
lacosamide,46
depakote,244
azithromycin chest cta,1
zonisamide,57
vpa depakote,1
dypneic,2
rifaximin ursodiol lactulose,1
ursodiol,305
po bid sevelamer,4
propranolol,228
po bid rifaximin,5
po tid lactulose,7
syrup,188
lispro,107
lansoprazole,327
nitric oxide,55
doxasosin,2
sodium bicarbonate,149
allopurinol,1329
piperacillin tazobactam na,13
po bid calcium carbonate,12
po tid senna,14
po bid famotidine,12
po bid vancomycin,13
vitamin d unit po,75
cefazolin,1165
piperacillin,387
piperacillin tazo s tobramycin s trimethoprim sulfa r blood cx,2
proteus,147
iron sulfate,36
ropinerole,2
aricept,253
docusate,308
dorzolamide,38
tramadol,635
xanax,223
augmentin,456
epinephrine levophed vasopressin,1
pureed solids,73
vasopressin,385
neosynphrine,3
pressors,139
ribavirin,81
interferon,38
valganciclovir,60
ganciclovir,75
bactrim,1815
tacrolimus nephrotoxicity,1
epogen,389
lamivudine,120
pegylated interferon alpha a mcg,1
prograf,271
5720,31
tylenol overdose,47
triglycer hdl,28
osmolal,956
glucose lactate na k cl am,4
tylenol overdose renal failure,1
acetylcysteine,136
cocaine benzodiazepines,1
labetalol,1030
mannitol,243
hepatitis c the patient was subsequently given further support for,1
E9800,4
keppra,1193
vancomycin tobramycin,3
bromocritine,1
lasix hydrocortisone levothyroxine testosterone vit d multivitamin,1
99702,25
glucose glucose,90
zocor omeprazole lasix,1
adriamycin,34
doxycylcine,8
gemzar,21
calcium phosphate magnesium iron cholest pm wbc rbc hgb hct mcv mch mchc rdw hematology complete blood count wbc rbc hgb hct mcv mch mchc rdw plt ct am source line art differential neuts bands lymphs monos eos baso atyps metas am red cell morphology hypochr anisocy poiklo macrocy microcy polychr spheroc ovalocy schisto tear dr am normal normal occasional occasional normal manually counted basic coagulation pt ptt plt inr pt ptt plt smr,1
terazosin,245
tiotroprium,12
zocor,429
qam lasix,7
mirapex,14
qhs zocor,11
benzo,92
barbiturates,30
alcoholic hepatitis infectious,1
amlodipine cocaine,1
vanocmycin,3
lasix morphine,6
oint,27
cream appl pr hospital prn,2
alendronate sodium,24
po qwed cyanocobalamin,1
creatine bicarb,1
vanc levo flagyl,30
calcium gluconate,270
pantoprazole gtts,8
simethicone,256
qid furosemide,6
53140,30
nafcillin,672
vancomcyin,25
baclofen infection,1
reliever,2
lidocaine,1141
po qday trimethoprim sulfamethoxazole,1
po qday,98
po tid cholecalciferol vitamin d unit po qday vitamin b mcg po daily,1
estrogens,13
po qday ferrous sulfate,2
2809,173
aureus coag clindamycin,29
famciclovir,6
nostril,57
spiriva,380
bromide tartrate,1
guaifenesin,203
po prn bisacodyl,1
compazine,326
nebs,1
qhs lisinopril,58
cipro flagyl prednisone flagyl,1
qday ambien,1
amphotericin,25
metoprolol hydralazine,12
glargine qhs zinc vit c vit d vit,1
calcitriol zocor,1
acetominophen,70
bact,116
midazolam,281
lactic acid,18
amitriptyline fluoxetine furosemide gabapentin topiramate,1
methocarbamol,16
risedronate,20
amitriptyline,209
potassium chloride,278
topiramate topamax,7
toradol,142
calcium phosphate magnesium uric acid iron,10
daunorubicin,17
cytarabine,73
micafungin,262
vancomycin cefepime voriconazole,2
voriconazole meropenem,1
provera,13
pcp multivitamin,1
42090,33
4233,109
humalog insulin,1
vitamin d hydroxy hct,1
aldactone lactulose,1
cryo,10
ppx cipro,1
ursodiol acute kidney injury,1
hepatitis c cirrhosis gastrointestinal bleed,1
glimepiride,78
aldactone,465
tums,158
alendronate,247
po tid,25
po tid metoclopramide,6
po tid omeprazole,3
magnesium oxide,174
po bid clotrimazole,2
hydroxyzine,176
po bid ergocalciferol vitamin d unit po x week mo for,1
steroids hyponatremia,2
erlotinib,19
erlotinib tarceva,3
polyethylene glycol,90
powder powder s,3
nifedipine,667
4580,89
calretinin,7
small anterior pneumothorax,3
carboplatin,142
uric acid,175
glucagon,28
neupogen,303
metoprolol omeprazole levetiracetam,1
carbamazepine,79
po qpm carbamazepine,1
potassium phosphate,15
chlorhexidine gluconate,32
hydrocortisone na succ,6
magnesium sulfate,51
albuterol ipratropium,156
fentanyl citrate,7
sodium potassium,36
sodium chloride pm,2
sodium chloride,75
asthma,42
ceftriaxone vancomycin,38
benzocaine,34
glycopyrrolate,41
antisialogogue,12
po bid oxybutynin,4
po bid senna,99
po bid amiodorone,2
rocephin,42
lasix ativan,2
plavix statin,45
tacrolimus,432
qpm atorvastatin,2
cholecalciferol vitamin d,10
qhs metoprolol succinate,5
calcium acetate,255
sodium citrate citric acid,4
medrol,67
trileptal,84
theophylline,77
po qd pepcid,1
po bid bactrim,6
cefotan,1
bdimc,1
octreotide protonix gtts,1
nadalol,10
atenolol lipitor lisinopril,3
glucose lactate na k cl tco urea,2
levofloxacin vancomycin,26
aztreonam,427
readded,2
aspirin allergy plavix,1
fluvoxamine,8
cortisone cream,3
clindamycin phosphate,8
zolpidem,254
ferrous sulfate,456
decitabine,67
amicar,57
histamines,5
famotidine benadryl,3
polyethylene glycol gram powder,12
magnesium hydroxide,49
